City,Height,Weight ,Age,Fit_preference ,Figure_Type ,Body_Shape,Arm_Shape,Abdomen ,Hip ,Critical_Area_Of_Measurement_1,UK_Size,Size_FabIndia,Satisfaction_level ,Size_Class
1,5.2,56,30,3,2,3,2,2,4,1,6,M,3,M
1,5.6,62,23,3,1,4,2,1,3,4,8,XS,5,S
4,5.4,70,26,3,4,7,1,4,4,1,14,XL,2,XL
7,5.3,59,21,3,2,4,2,1,3,5,8,XS,5,S
2,5.3,80,37,3,3,2,1,3,4,1,16,XL,5,XL
7,5.3,67,36,2,3,5,1,2,3,3,12,M,,
2,5.2,55,38,3,3,3,1,3,3,1,8,S,4,S
7,5,57,35,3,3,4,1,2,2,2,8,XS,,
7,5.2,76,27,4,3,7,1,3,2,2,16,XXL,3,XXL
2,5.5,55,38,2,2,3,2,2,4,1,8,XS,4,S
1,5.2,65,35,3,3,4,1,3,4,3,12,L,,
1,5.4,76,47,3,3,6,1,3,2,4,16,XXL,4,XXL
1,5.2,55,27,3,2,4,1,2,4,1,,XS,3,S
2,5.4,60,53,3,2,1,1,3,2,3,12,M,4,M
1,5.4,90,23,3,3,7,1,2,2,5,14,XL,3,XL
1,5.6,60,30,3,2,4,1,3,3,3,12,M,5,M
1,5.5,67,28,3,3,4,1,2,2,2,10,M,,
7,5,68,31,3,3,5,1,4,3,1,12,L,,
2,5.8,69,31,3,2,1,1,2,3,2,12,M,4,M
1,5.3,58,25,3,2,4,2,2,3,3,,M,4,S
7,5.6,58,31,3,2,3,2,3,2,3,,M,5,M
3,5.2,54,32,3,2,3,2,2,4,3,30,M,4,S
1,5.5,85,28,3,3,5,1,3,4,1,16,XL,,
2,5.5,53,30,3,2,2,2,2,3,2,,S,5,XS
2,5.3,56,29,3,2,4,1,3,4,1,10,M,4,M
10,5.3,76,31,3,3,4,1,2,2,5,14,L,,
1,5.3,70,31,3,4,7,1,4,2,3,14,L,,L
1,5.8,70,28,3,3,4,1,2,3,1,14,XL,3,XL
10,5.3,65,30,4,3,3,,3,4,1,,M,5,M
5,5.3,78,30,3,3,6,2,3,4,3,,L,4,
10,5.8,90,37,3,4,,1,4,1,2,18,XXL,4,XXL
1,5.4,54,28,3,2,1,3,2,4,3,10,S,3,S
5,4.11,47,41,1,1,4,2,1,2,4,6,XS,5,XS
4,5.5,62,29,2,,,2,1,3,4,8,S,2,S
2,5,54,35,3,2,4,2,2,5,1,8,S,4,S
10,5.2,53,38,2,1,,2,1,4,1,6,XS,4,XS
10,5.7,70,39,,3,6,1,3,3,1,,XL,4,XL
10,5.11,80,31,3,3,4,2,3,3,5,14,M,3,
2,5.3,64,27,4,3,4,1,2,2,1,6,S,4,S
1,5.3,52,26,3,2,1,3,2,2,1,8,XS,5,S
1,5.7,56,27,2,1,3,3,1,4,1,10,S,5,S
5,5.1,60,26,1,1,2,1,2,4,2,10,S,5,S
9,5.5,56,28,3,2,2,2,2,4,1,10,S,3,S
7,5.4,68,30,3,4,,3,4,4,3,12,L,4,
1,5,58,27,2,2,1,1,2,3,4,8,S,4,S
1,5.4,62,34,4,3,2,2,2,5,1,10,M,5,XXL
2,5.2,60,31,5,2,6,1,2,4,1,10,,5,L
2,5.7,56,26,3,2,4,2,2,4,1,12,M,5,
2,5.3,55,28,3,2,1,2,2,4,3,10,S,,
5,5.8,59,31,2,2,1,2,2,3,1,8,S,4,S
1,5.5,63,35,3,3,,2,3,2,3,12,M,4,M
2,5.3,70,30,3,2,4,2,2,2,1,16,L,,
2,5.4,58,26,2,1,4,2,1,4,4,10,S,4,S
9,5.2,64,29,3,3,3,1,2,5,1,,L,2,
1,5.4,55,22,2,1,2,2,1,3,1,8,S,5,XS
1,5.5,54,23,2,1,1,3,1,4,2,8,S,4,S
9,5.5,58,36,3,2,4,2,2,4,3,10,S,,
9,4.11,48,31,3,2,4,2,2,4,1,6,XS,5,
1,5.5,70,34,3,3,,2,3,3,1,10,M,3,
10,5.5,83,33,5,4,6,2,4,3,4,,XL,5,XL
10,5.5,70,40,3,3,4,1,2,4,1,14,M,4,L
2,5.9,75,52,4,2,5,2,2,1,2,14,L,5,XL
7,5.4,65,22,2,3,6,2,3,4,4,12,M,5,M
2,5.5,62,50,3,3,5,2,2,3,3,,M,5,M
9,5.6,70,28,3,3,6,1,3,4,3,14,L,4,L
3,5.3,56,29,3,2,2,2,2,3,1,,M,,
4,5.5,55,24,3,1,3,2,2,4,1,4,XS,3,XS
1,5.5,52,20,5,2,2,3,2,4,2,6,M,3,M
2,5.3,56,36,2,2,,1,2,3,3,12,M,,
10,5.4,60,30,3,2,4,1,2,3,2,8,S,3,
2,5.4,64,31,4,3,5,1,2,4,3,12,L,4,L
,5.7,60,59,3,2,2,3,2,5,4,12,M,,
9,5.2,65,26,4,3,6,1,4,4,3,16,XL,3,XL
2,5.2,55,28,3,3,6,1,2,4,3,10,S,4,S
1,5,58,64,3,3,6,2,3,4,3,14,L,,
1,5.4,58,27,2,1,4,2,1,5,1,10,S,,
1,5.25,65,29,2,3,5,1,2,2,3,10,M,,
1,5.3,59,18,2,1,4,2,1,3,4,,XS,,XS
7,5.4,56,29,4,1,4,2,2,4,1,,M,,
10,5,53,35,2,2,3,2,2,2,1,,S,5,S
1,5.3,68,55,3,3,5,1,3,3,1,10,M,5,M
10,5.6,59,,2,1,4,3,1,2,5,8,S,5,S
1,5.4,50,29,2,2,1,1,2,4,2,8,S,5,S
5,5.7,65,25,2,3,4,2,2,4,1,10,S,5,M
10,5.5,72,34,3,3,6,1,4,4,2,16,M,5,XL
10,5.4,55,23,2,2,1,2,2,3,2,6,S,4,S
2,5.2,49,28,2,1,4,3,1,3,1,6,S,5,XS
1,5.4,60,25,3,3,,2,3,3,3,,M,4,S
10,5.5,84,33,3,3,6,2,3,4,4,,XL,5,XXL
7,5.2,54,26,2,1,1,2,2,3,5,,S,4,S
1,5.4,56,24,3,2,,1,3,3,1,10,S,5,S
3,5.4,58,25,3,2,1,1,2,4,1,12,M,5,S
10,5.2,45,35,2,1,2,3,1,5,1,6,S,4,XS
7,5.5,68,26,2,3,4,2,2,3,1,12,M,5,M
7,5.5,68,26,2,3,4,2,2,3,1,12,M,5,M
4,5.7,65,25,2,2,4,2,2,4,1,10,S,5,M
7,5.5,78,28,2,3,4,1,2,3,1,14,L,4,XL
7,5.3,60,30,3,2,5,1,2,3,2,6,S,4,L
1,5.5,71,32,3,3,,1,2,2,3,12,S,5,M
2,5.4,64,30,2,3,3,2,2,3,6,8,M,3,M
2,5.2,60,29,2,3,5,1,2,3,1,6,S,5,S
7,5.5,63,22,3,2,,3,2,2,5,10,M,5,S
7,5.2,54,26,2,1,1,2,2,3,5,,S,4,S
10,5.2,56,31,3,4,4,1,4,3,1,10,M,3,M
7,5.11,70,20,3,2,4,3,2,3,1,14,M,4,M
2,5.1,46,23,2,2,4,1,2,3,1,6,XS,5,XS
10,5.4,60,31,3,1,4,2,1,3,1,,M,5,M
10,5.8,85,34,4,3,,1,4,4,3,16,XL,3,XXL
1,5.6,55,26,2,2,2,3,2,3,1,10,S,5,S
10,5.7,62,33,3,2,4,2,2,3,1,36,S,4,S
2,5.4,60,30,3,1,,1,1,3,2,8,S,5,S
3,5.2,87,28,5,3,4,1,3,4,2,20,XXL,5,XXL
2,5.1,46,23,2,2,4,1,2,3,1,6,XS,5,XS
1,5.6,60,29,2,1,4,2,1,3,5,4,XS,5,S
10,5.6,55,42,5,1,4,3,2,2,4,6,S,3,S
10,5.2,54,34,2,2,1,2,2,4,1,,S,5,S
4,5.2,59,28,3,3,5,1,3,2,3,10,M,5,S
2,5.2,55,38,4,2,3,1,3,4,1,8,S,2,S
10,5.5,60,21,3,1,2,3,1,3,1,10,S,3,M
10,5.2,49,28,3,2,1,2,2,3,2,,S,5,S
10,5.24,62,40,3,2,2,2,2,3,2,8,M,5,M
4,5.4,66,46,3,3,,2,2,1,5,10,M,5,M
4,5.5,66,27,1,1,2,1,1,2,2,10,M,3,M
7,5.7,64,25,2,2,,2,2,3,2,8,S,4,S
1,5.5,60,27,3,1,4,2,1,2,4,10,S,5,S
1,5.3,68,55,3,3,5,1,3,4,3,10,M,5,M
3,5.1,47,27,2,2,3,2,2,3,1,6,S,5,S
2,5.2,55,38,4,2,3,1,3,4,1,8,S,2,S
9,5.5,66,27,1,1,2,1,1,2,2,10,M,3,M
1,5,53,30,2,2,5,2,2,3,4,8,S,5,S
3,5.8,67,31,3,2,4,1,2,3,2,12,M,4,S
7,5.2,54,26,2,1,1,2,2,3,5,,S,4,S
9,5.3,58,32,2,2,2,2,2,2,3,5,S,5,S
